latitude,longitude,brightness
-24.972,119.25,348
-24.974,119.26,344.6
-26.682,125.994,343.3
-26.694,125.993,342.9
-26.696,126.013,330.5
-26.684,125.988,343.4
-26.686,126.008,338.7
-26.566,124.417,357.1
-26.568,124.432,381.1
-26.577,124.415,367.1
-26.579,124.431,436.3
-26.581,124.446,377.1
-26.59,124.429,361.3
-26.601,124.428,347
-26.612,124.426,355.8
-26.611,124.404,338.1
-26.613,124.42,345.9
-27.235,125.217,335.1
-27.237,125.235,331.1
-27.247,125.215,349.7
-27.249,125.233,340
-27.258,125.213,348
-27.241,125.209,340.1
-27.243,125.227,349.1
-27.253,125.207,342.4
-27.255,125.225,345.8
-27.265,125.206,335
-27.267,125.224,388
-27.268,125.242,349.9
-27.277,125.204,389.4
-27.278,125.222,445.9
-27.28,125.241,338.4
-27.29,125.221,338.6
-27.3,125.202,337.2
-27.302,125.22,354.6
-27.304,125.238,370.4
-28.471,124.472,337.2
-28.473,124.489,332.2
-28.483,124.471,330.6
-28.907,124.299,325.5
-29.431,124.3,328.2
-29.429,124.295,327.1
-29.44,124.293,328.4
-29.621,122.778,339.2
-29.622,122.792,336
-29.628,122.785,340.9
-30.017,124.61,321.4
-30.019,124.628,321.8
-30.029,124.608,322.9
-30.031,124.626,326.8
-29.977,122.973,334.6
-30.864,121.489,341.9
-12.169,132.706,316
-13.569,129.972,313.7
-14.13,129.989,314
-14.674,127.823,323.9
-15.181,131.571,333.4
-15.197,131.569,326.1
-15.238,131.558,326.6
-15.372,128.009,332
-15.489,128.116,326.1
-15.492,128.109,325.7
-16.08,127.294,331.5
-17.617,131.607,327.5
-17.758,129.313,321.7
-17.761,129.338,326.7
-17.509,125.038,331.7
-17.51,125.05,328.3
-17.519,125.037,331.9
-17.521,125.049,331.2
-17.541,125.046,331.7
-18.398,127.513,336.6
-18.4,127.531,325.8
-18.41,127.511,322.6
-18.401,127.506,332
-18.403,127.524,331.2
-20.271,128.962,360.1
-20.273,128.987,338.4
-20.282,128.935,332.3
-20.285,128.96,352.7
-20.287,128.985,329.9
-20.275,128.956,361
-20.277,128.981,348.3
-20.286,128.929,332.1
-20.289,128.954,331.4
-21.147,124.39,401.6
-21.149,124.403,402.1
-21.157,124.389,349
-21.159,124.401,359.8
-21.169,124.4,337.5
-21.705,125.527,334.6
-21.711,125.48,341.5
-22.786,126.104,335.8
-22.477,123.494,344.3
-22.802,126.137,339.2
-22.486,123.492,344.2
-22.488,123.498,344.1
-22.796,126.131,333.9
-22.498,123.496,343
-24.089,126.604,328.3
-24.102,126.602,351.5
-24.104,126.622,334.9
-24.114,126.601,333.8
-24.116,126.62,326.9
-24.117,126.614,325.7
-25.217,125.38,343.5
-24.717,121.08,337.3
