latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-18.70351,22.22434,307.7,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.3,3.1,N
-18.71007,22.22365,321.7,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,288.6,4.8,N
-18.70602,22.17769,298.6,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,285.9,5.3,N
-18.71255,22.17701,348.5,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,288.5,5.3,N
-18.71306,22.18273,300.4,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,286.7,4.5,N
-18.81414,22.87372,309.3,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.3,1.6,N
-18.83514,22.87812,299.1,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,288.3,0.3,N
-18.70223,21.24199,301.1,0.5,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.3,0.8,N
-18.81544,22.87139,305.7,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.9,2.2,N
-18.85603,22.38898,307.5,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.5,4.7,N
-18.86266,22.38831,327.4,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289,4.7,N
-18.86981,22.39358,322.4,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,290.9,5.9,N
-18.87034,22.39952,323.3,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,291.5,5.9,N
-18.87087,22.40547,334.5,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.1,6.2,N
-18.87697,22.39885,332.4,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,292.2,5.9,N
-18.8775,22.4048,328.8,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.6,6.2,N
-18.87591,22.38697,299.8,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.1,4.5,N
-18.87644,22.39291,302.3,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,290,5.9,N
-18.8836,22.39818,367,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,295.5,24.4,N
-18.88414,22.40414,367,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,292,12.7,N
-18.88467,22.41011,322.6,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,288.8,12.7,N
-18.88307,22.39224,304.4,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.9,24.4,N
-18.88521,22.41607,298.2,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,286.5,3.3,N
-18.89131,22.40944,331.5,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.1,12.7,N
-18.6281,19.70568,305.1,0.4,0.6,2017-11-20,0030,N,nominal,1.0NRT,287.6,1.3,N
-18.88049,22.39948,367,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,296.4,16,N
-18.88098,22.40544,367,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,292.1,16,N
-18.8795,22.38757,303,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.6,11.7,N
-18.88,22.39352,310.1,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,290,11.7,N
-18.88148,22.41141,299.3,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.3,5.7,N
-18.88713,22.39878,333.1,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,290,16,N
-18.88762,22.40477,326.6,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,288.4,16,N
-18.88812,22.41074,338.2,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.7,5.7,N
-18.89476,22.41005,302.9,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.8,1.1,N
-19.14171,23.69511,300.8,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.3,0.6,N
-19.06146,22.69534,298.2,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.6,1.7,N
-19.06485,22.733,299.1,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.9,2.6,N
-19.06542,22.73929,318,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.6,2.7,N
-19.06758,22.7396,323.4,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,288.1,2.8,N
-19.06706,22.73329,308.5,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.2,2.8,N
-19.07383,22.73259,298.9,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,288.5,2.8,N
-19.56998,23.02575,300.1,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288,0.8,N
-19.57747,23.03181,317.3,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.9,3.4,N
-18.98396,17.08935,316,0.5,0.5,2017-11-20,0030,N,nominal,1.0NRT,290.4,3.2,N
-18.98458,17.09466,311.6,0.5,0.5,2017-11-20,0030,N,nominal,1.0NRT,289.3,1.8,N
-19.58439,23.03116,310.6,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.8,3.4,N
-19.59767,23.02317,311.3,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289.7,2.8,N
-19.59824,23.02988,304.1,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.7,2.8,N
-19.569,23.02747,298.8,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.3,1.6,N
-19.57593,23.02682,306.8,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.1,1.6,N
-19.57645,23.03351,304.3,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.5,1.9,N
-19.58285,23.02614,307.2,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289.2,4.3,N
-19.58337,23.03284,307,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.6,2.3,N
-19.5967,23.02478,318.7,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289.9,4.9,N
-19.65296,22.94556,300.5,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289.1,1,N
-19.68969,22.96887,305.3,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289.8,1.1,N
-19.7127,22.99365,310.4,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.9,1.8,N
-19.65327,22.94685,302.5,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289,2.5,N
-19.68985,22.97006,305.4,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289.7,2.4,N
-19.7127,22.99477,310.1,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289.5,1.9,N
-19.71962,22.99411,300,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.8,1.9,N
-19.72068,23.00749,302,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289,2.8,N
-19.22465,17.72392,310.5,0.6,0.5,2017-11-20,0030,N,nominal,1.0NRT,292,2.1,N
-19.72701,22.91299,306.6,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.4,2.2,N
-19.73453,23.00618,300.1,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289.2,3,N
-19.7339,22.91235,308.4,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.6,3.7,N
-19.73444,22.91896,313.4,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.5,2.8,N
-19.74092,22.99881,298.8,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.8,2.4,N
-19.74948,23.0183,307.2,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,289,4,N
-19.75002,23.02505,303.6,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.1,3,N
-19.7564,23.01765,300.6,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,288.7,1,N
-19.8931,23.16795,298.7,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,286.9,2.1,N
-19.9001,23.16731,301.1,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,287.4,2.5,N
-19.89175,23.16941,300.7,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,287.8,1.5,N
-19.89875,23.16874,299.6,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,287.1,1.5,N
-19.86791,22.17878,301.6,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.7,0.4,N
-20.03027,22.39556,305,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,286.4,2.3,N
-20.03697,22.39492,309.6,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.2,2.3,N
-20.02683,22.39655,298,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,285.6,1.4,N
-20.03354,22.39587,305.6,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,286.3,1.4,N
-20.04025,22.3952,308.8,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,288.4,2.7,N
-20.07901,22.37276,301.6,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,282.4,1.6,N
-20.08471,22.3598,301,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,285.4,2.4,N
-20.08571,22.37212,313.9,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,287.5,1.6,N
-20.09191,22.36529,306.9,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.7,4.3,N
-20.09241,22.37146,315.1,0.6,0.7,2017-11-20,0030,N,nominal,1.0NRT,289.3,3.4,N
-20.42967,22.85559,299.7,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,285.2,2,N
-20.42883,22.85716,302.9,0.7,0.8,2017-11-20,0030,N,nominal,1.0NRT,285,1.9,N
-21.47182,16.28974,309.6,0.5,0.5,2017-11-20,0030,N,nominal,1.0NRT,285.8,0.3,N
69.3701,88.11644,344.9,0.5,0.7,2017-11-20,0006,N,nominal,1.0NRT,250.9,5.9,N
69.37105,88.12314,330.5,0.5,0.7,2017-11-20,0006,N,nominal,1.0NRT,248,3.6,N
68.41006,83.63554,330.9,0.5,0.7,2017-11-20,0006,N,nominal,1.0NRT,245.8,3,N
68.40752,83.62038,344.2,0.5,0.7,2017-11-20,0006,N,nominal,1.0NRT,246.4,5.1,N
71.2542,71.81924,353.9,0.5,0.5,2017-11-20,0006,N,nominal,1.0NRT,254.5,9.5,N
51.69098,52.76439,309.9,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,267.2,2.6,N
58.27791,6.88598,299,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,269.5,1.6,N
58.27512,6.89511,300.6,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,268.5,2.1,N
57.06381,9.97145,303.4,0.6,0.7,2017-11-20,0012,N,nominal,1.0NRT,273.5,2.2,N
53.52374,9.898,344.3,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,275.5,7.5,N
53.52383,9.90669,309.1,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,272.9,3.8,N
53.51232,10.03584,303.7,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,275.3,1.6,N
53.5235,9.90311,352.7,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,274.8,6.9,N
53.51146,10.03227,295.2,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,274.2,1.3,N
52.46312,7.31987,296.2,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,258.6,1.1,N
50.82919,20.27084,295.2,0.4,0.5,2017-11-20,0012,N,nominal,1.0NRT,273.8,0.6,N
49.35962,6.74924,299.2,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,270.9,1.2,N
49.35827,6.74705,306.7,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,272.4,1.7,N
49.24586,6.84804,341.2,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,271.9,6.6,N
49.24338,6.84301,317.4,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,270.8,5.6,N
49.24362,6.85409,314.3,0.7,0.8,2017-11-20,0012,N,nominal,1.0NRT,271.4,4.1,N
47.27342,18.90268,305.9,0.4,0.5,2017-11-20,0012,N,nominal,1.0NRT,273,1.1,N
46.06845,13.62891,305.4,0.3,0.6,2017-11-20,0012,N,nominal,1.0NRT,275,0.7,N
46.06926,13.62743,303,0.3,0.6,2017-11-20,0012,N,nominal,1.0NRT,274.4,0.8,N
46.00603,13.25284,295.2,0.4,0.6,2017-11-20,0012,N,nominal,1.0NRT,277.5,0.9,N
45.48064,10.2108,300.2,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,273.5,0.8,N
45.45819,10.45547,302.1,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,274.2,1.3,N
45.14335,9.94054,296.2,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,276.2,0.7,N
45.14546,9.94162,297.2,0.5,0.7,2017-11-20,0012,N,nominal,1.0NRT,278.2,1.5,N
43.17366,16.6355,297,0.5,0.5,2017-11-20,0018,N,nominal,1.0NRT,278.5,1.3,N
42.00736,12.7153,309,0.4,0.6,2017-11-20,0018,N,nominal,1.0NRT,279,1.1,N
40.63062,17.99818,295.1,0.6,0.4,2017-11-20,0018,N,nominal,1.0NRT,279.2,0.4,N
40.5169,17.20627,313.8,0.4,0.5,2017-11-20,0018,N,nominal,1.0NRT,282.3,1.6,N
40.51231,17.21039,304.8,0.4,0.5,2017-11-20,0018,N,nominal,1.0NRT,282,1.6,N
40.50819,17.20969,303.6,0.4,0.5,2017-11-20,0018,N,nominal,1.0NRT,281.1,1.4,N
40.50772,17.21453,301.5,0.4,0.5,2017-11-20,0018,N,nominal,1.0NRT,281.9,1.4,N
40.50314,17.21866,304.6,0.4,0.5,2017-11-20,0018,N,nominal,1.0NRT,284.5,1,N
40.49995,17.2083,306.3,0.4,0.5,2017-11-20,0018,N,nominal,1.0NRT,282.1,1,N
37.60635,33.17983,298.2,0.6,0.5,2017-11-20,0018,N,nominal,1.0NRT,277.5,2.1,N
37.60472,33.18637,313.4,0.6,0.5,2017-11-20,0018,N,nominal,1.0NRT,278.5,2.1,N
37.60024,33.16308,339.5,0.6,0.5,2017-11-20,0018,N,nominal,1.0NRT,280.4,7.2,N
37.59555,33.16123,338,0.6,0.5,2017-11-20,0018,N,nominal,1.0NRT,279.1,7.2,N
37.49222,33.56976,319.5,0.6,0.6,2017-11-20,0018,N,nominal,1.0NRT,276,4.4,N
37.60659,33.18563,318.3,0.6,0.5,2017-11-20,0018,N,nominal,1.0NRT,279.3,4.2,N
37.602,33.16225,299.3,0.6,0.5,2017-11-20,0018,N,nominal,1.0NRT,278.3,5.7,N
37.59731,33.16038,337.5,0.6,0.5,2017-11-20,0018,N,nominal,1.0NRT,279.6,5.7,N
37.59571,33.16694,319.6,0.6,0.5,2017-11-20,0018,N,nominal,1.0NRT,278.1,5.7,N
37.49166,33.56838,310.4,0.6,0.6,2017-11-20,0018,N,nominal,1.0NRT,275.7,2.6,N
37.48994,33.57526,296.3,0.6,0.6,2017-11-20,0018,N,nominal,1.0NRT,275.3,1.5,N
38.73882,26.9465,318.2,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,285.4,2.3,N
38.73788,26.95148,309.9,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,283.1,1.6,N
38.73536,26.94539,302.6,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,286.8,1.8,N
38.73442,26.95038,311,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,283.7,1.1,N
38.73557,26.94375,299.2,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,285.6,1.5,N
38.73465,26.94875,319.8,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,284.7,1.5,N
38.73048,26.93168,296.6,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,283.5,0.9,N
39.35427,22.98682,303.8,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,281.6,0.5,N
38.13008,23.52669,312.1,0.4,0.4,2017-11-20,0018,N,nominal,1.0NRT,285.1,1.4,N
34.6062,37.90442,299.4,0.6,0.7,2017-11-20,0018,N,nominal,1.0NRT,278.7,1.8,N
34.97107,35.89471,300.8,0.5,0.7,2017-11-20,0018,N,nominal,1.0NRT,282.9,1.3,N
