latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.782,143.164,350.5,2.6,1.5,2017-11-20,0115,T,94,6.0NRT,306.2,197.1,D
-17.785,143.188,337,2.6,1.5,2017-11-20,0115,T,83,6.0NRT,304,100.7,D
-17.796,143.163,339,2.6,1.5,2017-11-20,0115,T,86,6.0NRT,302,119.4,D
-17.799,143.187,321.2,2.6,1.5,2017-11-20,0115,T,56,6.0NRT,300.9,31.4,D
-17.835,143.134,335.1,2.6,1.5,2017-11-20,0115,T,57,6.0NRT,304.5,87.8,D
-17.863,143.13,329.4,2.6,1.5,2017-11-20,0115,T,66,6.0NRT,296.7,56.2,D
-17.868,143.123,340.3,2.6,1.5,2017-11-20,0115,T,87,6.0NRT,300.8,117.9,D
-18.019,144.482,320.5,3.3,1.7,2017-11-20,0115,T,51,6.0NRT,292.9,67.1,D
-17.159,136.012,336.3,1,1,2017-11-20,0115,T,78,6.0NRT,314.2,13.7,D
-17.16,136.021,350.9,1,1,2017-11-20,0115,T,93,6.0NRT,313.6,40.8,D
-17.182,135.982,345.2,1,1,2017-11-20,0115,T,88,6.0NRT,312.9,29.9,D
-17.183,135.992,352.3,1,1,2017-11-20,0115,T,94,6.0NRT,313.2,44.8,D
-17.191,135.981,334.6,1,1,2017-11-20,0115,T,74,6.0NRT,311.4,12.4,D
-17.192,135.99,351.4,1,1,2017-11-20,0115,T,94,6.0NRT,310.8,43.4,D
-17.266,136.431,349.4,1,1,2017-11-20,0115,T,92,6.0NRT,310.9,42.5,D
-17.267,136.441,413.3,1,1,2017-11-20,0115,T,100,6.0NRT,317.1,329.8,D
-17.268,136.45,331.1,1,1,2017-11-20,0115,T,41,6.0NRT,306.7,11,D
-17.568,138.618,341.9,1.2,1.1,2017-11-20,0115,T,86,6.0NRT,308.6,37,D
-17.589,138.782,330.6,1.3,1.1,2017-11-20,0115,T,41,6.0NRT,309.1,10.6,D
-17.275,136.43,341.1,1,1,2017-11-20,0115,T,84,6.0NRT,309.4,26.1,D
-17.577,138.617,390.8,1.2,1.1,2017-11-20,0115,T,100,6.0NRT,310.1,248.9,D
-17.579,138.629,338.4,1.2,1.1,2017-11-20,0115,T,82,6.0NRT,307.7,28.6,D
-17.584,138.663,333.9,1.2,1.1,2017-11-20,0115,T,68,6.0NRT,310.4,17,D
-17.598,138.769,332.1,1.3,1.1,2017-11-20,0115,T,73,6.0NRT,310.2,12.3,D
-17.284,136.428,333.5,1,1,2017-11-20,0115,T,68,6.0NRT,309.2,15.2,D
-17.592,138.65,332.8,1.2,1.1,2017-11-20,0115,T,61,6.0NRT,310.4,15.5,D
-17.293,136.427,328.6,1,1,2017-11-20,0115,T,47,6.0NRT,309.6,10.2,D
-18.155,143.054,332.6,2.6,1.5,2017-11-20,0115,T,49,6.0NRT,304,56.7,D
-18.166,143.028,337.5,2.5,1.5,2017-11-20,0115,T,78,6.0NRT,305.5,79.2,D
-18.168,143.052,360.2,2.6,1.5,2017-11-20,0115,T,100,6.0NRT,303.5,276.9,D
-18.16,143.048,338,2.6,1.5,2017-11-20,0115,T,81,6.0NRT,303.9,92.5,D
-18.172,143.022,332.7,2.5,1.5,2017-11-20,0115,T,70,6.0NRT,305.2,52.6,D
-18.174,143.046,364,2.6,1.5,2017-11-20,0115,T,100,6.0NRT,304.5,318.1,D
-18.177,143.07,329,2.6,1.5,2017-11-20,0115,T,62,6.0NRT,300.5,48.1,D
-18.186,143.021,328.8,2.5,1.5,2017-11-20,0115,T,41,6.0NRT,305.2,33.4,D
-18.199,143.019,352.1,2.5,1.5,2017-11-20,0115,T,95,6.0NRT,305.7,196.7,D
-18.202,143.043,333.5,2.6,1.5,2017-11-20,0115,T,81,6.0NRT,305.4,71.4,D
-18.151,141.453,332.6,1.9,1.4,2017-11-20,0115,T,78,6.0NRT,296.8,58.7,D
-18.153,141.471,334,1.9,1.4,2017-11-20,0115,T,81,6.0NRT,300.6,66.3,D
-18.157,141.465,337.2,1.9,1.4,2017-11-20,0115,T,84,6.0NRT,299.4,78,D
-18.466,142.148,329.7,2.2,1.4,2017-11-20,0115,T,69,6.0NRT,303.2,40.9,D
-18.469,142.169,330.7,2.2,1.4,2017-11-20,0115,T,71,6.0NRT,303.1,42.4,D
-18.477,142.126,327.4,2.2,1.4,2017-11-20,0115,T,50,6.0NRT,300.8,35,D
-18.479,142.147,331.6,2.2,1.4,2017-11-20,0115,T,72,6.0NRT,301.7,51,D
-18.001,137.962,332.8,1.2,1.1,2017-11-20,0115,T,68,6.0NRT,309.6,14.9,D
-18.897,144.059,321.8,3.1,1.7,2017-11-20,0115,T,56,6.0NRT,298.7,53.6,D
-18.45,140.075,341.1,1.6,1.2,2017-11-20,0115,T,85,6.0NRT,309.4,47.6,D
-18.451,140.089,343.2,1.6,1.2,2017-11-20,0115,T,87,6.0NRT,308.3,55.8,D
-18.453,140.104,327.8,1.6,1.2,2017-11-20,0115,T,61,6.0NRT,305.8,13,D
-18.445,140.024,330.2,1.5,1.2,2017-11-20,0115,T,65,6.0NRT,306.2,15.7,D
-18.45,140.068,340.1,1.6,1.2,2017-11-20,0115,T,84,6.0NRT,309.1,44.5,D
-18.452,140.083,345.2,1.6,1.2,2017-11-20,0115,T,89,6.0NRT,309.3,63.1,D
-18.453,140.098,335.5,1.6,1.2,2017-11-20,0115,T,78,6.0NRT,306.6,32.7,D
